,Query ID,Query Lat,Query Lng,Name,Category,Biz Address,Biz City,Biz Zip,Biz Lat,Biz Lng,Rating,Review Count,Price,Yelp ID
0,37.798713-122.405864,37.798713,-122.405864,Limoncello,"['Sandwiches', 'Delis', 'Beer, Wine & Spirits']",1400 Sutter St,San Francisco,94109.0,37.7873184067081,-122.423591369312,5.0,715,$$,2hGIxgprREdBieylltWaRQ
1,37.798713-122.405864,37.798713,-122.405864,Falafelland,['Falafel'],133 6th St,San Francisco,94103.0,37.78065,-122.40806,5.0,130,$$,7hwNwbYwU3oapw7GjaU8WQ
2,37.798713-122.405864,37.798713,-122.405864,Gusto Pinsa Romana,"['Pizza', 'Salad', 'Coffee & Tea']",1000 Bush St,San Francisco,94109.0,37.789674058665796,-122.413919270039,5.0,160,$$,3a36_kQBI8dB32Dt2aEEHg
3,37.798713-122.405864,37.798713,-122.405864,Miyako Old Fashioned Ice Cream,"['Ice Cream & Frozen Yogurt', 'Delis', 'Sandwiches']",1470 Fillmore St,San Francisco,94118.0,37.7830991389702,-122.43246196323601,4.5,316,$,L3_71hwGHkr38nZ2daksuA
4,37.798713-122.405864,37.798713,-122.405864,Fresh Brew Coffee,"['Coffee & Tea', 'Sandwiches', 'Vietnamese']",882 Bush St,San Francisco,94108.0,37.790009999999995,-122.41176999999999,4.5,537,$,U9HWtltvf_U2y1wYSOwFUA
5,37.798713-122.405864,37.798713,-122.405864,Frena Bakery and Cafe,"['Bakeries', 'Kosher', 'Mediterranean']",132 6th St,San Francisco,94103.0,37.780321,-122.408274,4.5,364,$$,N-vfl3FXnj4M7N6jW-1EGA
6,37.798713-122.405864,37.798713,-122.405864,Crostini & Java,"['Coffee & Tea', 'Sandwiches', 'Tapas Bars']",899 Hyde St,San Francisco,94109.0,37.788920000000005,-122.41713999999999,5.0,120,$$,SZs2L7N1tNSsFEdbdEvcdw
7,37.798713-122.405864,37.798713,-122.405864,Early To Rise,"['Breakfast & Brunch', 'American (Traditional)']",1098 Jackson St,San Francisco,94133.0,37.7953932,-122.41312140000001,5.0,122,$$$,50hc7XfRPjRG7E_RXRRBgg
8,37.798713-122.405864,37.798713,-122.405864,Gio Gelati,"['Gelato', 'Creperies']",1998 Union St,San Francisco,94123.0,37.79769,-122.43206,5.0,147,$,JWsP9ZkE3gNuyk2TkdjzsA
9,37.798713-122.405864,37.798713,-122.405864,Piccolo Forno,"['Pizza', 'Italian']",725 Columbus Ave,San Francisco,94133.0,37.801369930864205,-122.411981038749,4.5,505,$$,o43B4DnnQbvkdDK6AVafQg
10,37.798713-122.405864,37.798713,-122.405864,Tadu Ethiopian Kitchen,['Ethiopian'],484 Ellis St,San Francisco,94102.0,37.7848298,-122.41422709999999,4.5,635,$$,xkTx2lxZQptqxNeCBCaArA
11,37.798713-122.405864,37.798713,-122.405864,Lapisara Eatery,"['Breakfast & Brunch', 'Burgers', 'Thai']",698 Post St,San Francisco,94109.0,37.7878344,-122.4131853,4.5,532,$$,0mNzmmh1mrdh5Cpg2QUBiw
12,37.798713-122.405864,37.798713,-122.405864,Bandit,"['Burgers', 'Breakfast & Brunch', 'American (Traditional)']",683 Geary St,San Francisco,94102.0,37.7864,-122.41451,4.5,337,$$,cwLN5xjMi6UJ14QmEtEs4A
13,37.798713-122.405864,37.798713,-122.405864,Nara Restaurant & Sake Bar,"['Japanese', 'Sushi Bars']",518 Haight St,San Francisco,94117.0,37.7721665317965,-122.430675700307,4.5,938,$$,cL0q9S4bqwpbAN9ZKh-Zeg
14,37.798713-122.405864,37.798713,-122.405864,Gary Danko,"['American (New)', 'French', 'Wine Bars']",800 N Point St,San Francisco,94109.0,37.80587,-122.42058,4.5,5397,$$$$,WavvLdfdP6g8aZTtbBQHTw
15,37.798713-122.405864,37.798713,-122.405864,Cafe de Casa,"['Coffee & Tea', 'Brazilian', 'Gluten-Free']",2701 Leavenworth St,San Francisco,94133.0,37.806109899999996,-122.41892,4.5,365,$$,x29tzG5M7VbZhpG1jcREKQ
16,37.798713-122.405864,37.798713,-122.405864,KUSAKABE,"['Sushi Bars', 'Japanese']",584 Washington St,San Francisco,94111.0,37.7957017702111,-122.40288483558201,4.5,848,$$$$,U0GqpXzcIDlad7vQHbB63Q
17,37.798713-122.405864,37.798713,-122.405864,Ichido,"['Seafood', 'Japanese', 'Pop-Up Restaurants']",50 Apparel Way,San Francisco,94124.0,37.7751511257435,-122.419268265367,5.0,110,$$$,fchN6rNVAb1-OqxLMcdrvA
18,37.798713-122.405864,37.798713,-122.405864,Pink Onion,"['Pizza', 'Italian', 'Gastropubs']",64 14th St,San Francisco,94103.0,37.76871,-122.41481999999999,4.5,330,$$,IxDRIBkKtP-f24sr5zHAhQ
19,37.798713-122.405864,37.798713,-122.405864,San Francisco Wine & Cheese,"['Cheese Shops', 'Wine Bars', 'Sandwiches']",141 Gough St,San Francisco,94102.0,37.7747,-122.42271000000001,5.0,84,$$,pDe8b2Y2615M-2NhHRa-4w
20,37.798713-122.405864,37.798713,-122.405864,Bodega,"['Wine Bars', 'Beer Bar', 'American (New)']",700 Columbus Ave,San Francisco,94133.0,37.80135,-122.41129,4.5,200,$$,nF2XsQVUMFj-_LudpenBVg
21,37.798713-122.405864,37.798713,-122.405864,Betty Lou's Seafood & Grill,"['Seafood', 'Steakhouses', 'Bars']",318 Columbus Ave,San Francisco,94133.0,37.798272477416,-122.40705750882601,4.5,639,$$,OH3GLEJvGhbER4d3xMuPIA
22,37.798713-122.405864,37.798713,-122.405864,Liholiho Yacht Club,"['Bars', 'American (New)', 'Seafood']",871 Sutter St,San Francisco,94109.0,37.78818,-122.41458,4.5,2172,$$$,KkAVX3Wb7E3lP5F_f_8pXg
23,37.798713-122.405864,37.798713,-122.405864,Eight AM,"['American (New)', 'Breakfast & Brunch']",1323 Columbus Ave,San Francisco,94133.0,37.806251,-122.41920400000001,4.5,1170,$$,4-ra3RxOy1PpvnaK49dy8w
24,37.798713-122.405864,37.798713,-122.405864,Tacorea,"['Mexican', 'Korean', 'Latin American']",809 Bush St,San Francisco,94108.0,37.7897794,-122.41071699999999,4.5,1509,$,u39mZEYojBiNic3lqKhPNw
25,37.798713-122.405864,37.798713,-122.405864,Mersea,"['American (Traditional)', 'Bars']",699 Ave Of The Palms,San Francisco,94130.0,37.8225719347113,-122.375853886786,4.5,485,$$,xAALy_s3a1dT6K09vSrAGQ
26,37.798713-122.405864,37.798713,-122.405864,LâArdoise Bistro,"['French', 'Wine Bars', 'Desserts']",151 Noe St,San Francisco,94114.0,37.766524100000005,-122.4331385,4.5,1230,$$$,9yM20-7fj4LMrOO30nqkBw
27,37.798713-122.405864,37.798713,-122.405864,The New Spot On Polk,"['Breakfast & Brunch', 'Diners', 'Burgers']",2401 Polk St,San Francisco,94109.0,37.798839,-122.422409,4.5,515,$$,7bO6OHn52SJP4Mi3U-XflQ
28,37.798713-122.405864,37.798713,-122.405864,Kokkari Estiatorio,"['Greek', 'Mediterranean']",200 Jackson St,San Francisco,94111.0,37.796996,-122.39966100000001,4.5,4390,$$$,PsY5DMHxa5iNX_nX0T-qPA
29,37.798713-122.405864,37.798713,-122.405864,Philz Coffee,"['Coffee & Tea', 'Sandwiches']",201 Berry St,San Francisco,94158.0,37.7756640166767,-122.39345180371001,4.5,1388,$,hWE2CDphzZ3nXlwv3Uk6Og
30,37.798713-122.405864,37.798713,-122.405864,KitTea Cat Cafe,['Themed Cafes'],96 Gough St,San Francisco,94102.0,37.773934600000004,-122.4222081,4.5,666,$$,D1GB7el1CaX-22CkX94zfw
31,37.798713-122.405864,37.798713,-122.405864,Alimento,"['Gelato', 'Sandwiches', 'Salad']",507 Columbus Ave,San Francisco,94133.0,37.799642999999996,-122.409622,4.5,667,$,v5-upYI3belSfXOeT1dNWw
32,37.798713-122.405864,37.798713,-122.405864,Chisme Cantina,"['Tacos', 'Vegan']",882 Sutter St,San Francisco,94109.0,37.78862,-122.41483000000001,4.5,345,$$,7X76HyhNAUTcYuY6t6ionQ
